variable,importance,rank,cumulative
l_TOP73,0.0008574219261982989,229,0.9829261295342903
l_CLI12,0.0008379646706094719,230,0.9837640942048997
u_LAC7,0.0008290361228864253,231,0.9845931303277862
l_TOP118,0.0008064051201117917,232,0.9853995354478979
l_SOL53,0.0007840506315686933,233,0.9861835860794667
u_LAC1,0.0007157660246446179,234,0.9868993521041113
l_CLI8,0.0007123713332355797,235,0.9876117234373468
l_CLI28,0.0006936701058889216,236,0.9883053935432358
l_SOL45,0.0006844232115641641,237,0.9889898167547999
l_SOL34,0.0006807259808726593,238,0.9896705427356726
l_TOP69,0.0006291321649078587,239,0.9902996749005805
l_TOP49,0.0006286061583970765,240,0.9909282810589776
l_LAC13,0.0006012221179525403,241,0.9915295031769301
l_TOP106,0.00059999054621834,242,0.9921294937231484
l_LAC7,0.0005845625632488952,243,0.9927140562863973
l_TOP13,0.0005743047403536228,244,0.9932883610267509
l_TOP89,0.0005538986703953869,245,0.9938422596971462
l_SOL56,0.0005371243075126496,246,0.9943793840046589
l_TOP105,0.0005089887570490997,247,0.9948883727617079
l_LAC3,0.0005041506063736089,248,0.9953925233680816
l_TOP85,0.0004888044996275479,249,0.9958813278677091
l_LAC1,0.0004656271271848667,250,0.996346954994894
l_SOL46,0.0004608144981954896,251,0.9968077694930895
l_LAC10,0.0004154538824805913,252,0.99722322337557
l_SOL48,0.0003833880672185811,253,0.9976066114427886
l_SOL33,0.0003751241475674082,254,0.9979817355903561
l_LAC19,0.000351420180274036,255,0.9983331557706301
l_LAC4,0.00033638213900906276,256,0.9986695379096392
u_LAC19,0.00031145235202818,257,0.9989809902616674
l_TOP9,0.0002530997066762079,258,0.9992340899683436
u_LAC15,0.00019965864701718724,259,0.9994337486153608
u_LAC20,0.00014709121408833242,260,0.9995808398294491
u_LAC21,0.00012633536537611263,261,0.9997071751948252
u_LAC12,0.00011163328339926629,262,0.9998188084782245
l_LAC21,5.449425883343938e-05,263,0.9998733027370579
u_LAC18,4.69241014232072e-05,264,0.9999202268384811
l_LAC11,3.629656279352669e-05,265,0.9999565234012747
u_LAC8,1.632793784727546e-05,266,0.999972851339122
l_SOL54,1.4760554280164523e-05,267,0.9999876118934021
l_TOP17,7.097647804618123e-06,268,0.9999947095412067
l_LAC12,2.6561844211968134e-06,269,0.9999973657256279
u_LAC2,2.634274372039022e-06,270,1.0
