variable,PC1,PC2,PC3,PC4,PC5
l_CLI45,0.04442339833783693,-0.08544509303441902,-0.08310621463004145,0.14414099335801103,-0.07375429575826044
l_CLI48,0.06399447478369277,-0.04234248793072976,0.057759715603873066,0.032037615944689526,-0.07002048749346619
l_CLI49,0.04062377252831474,-0.07125033830427425,-0.07487404344802545,0.13304170362425705,-0.11530911338788917
l_CLI53,0.04739361510935797,-0.09114544928921091,-0.08377935395631364,0.12949608969052132,-0.018065531826536186
l_CLI56,0.06030519739299011,-0.04178843150928671,0.06546279112852293,0.02007540173439313,-0.05280398950653518
l_CLI57,-0.012929805321602882,0.02098906629698919,0.004965368955298996,-0.027747079106931017,-0.15864305237115323
l_CLI60,0.021833250687782076,0.034890419440083344,0.06333793785892199,-0.006670763458615073,-0.06429859016359826
l_CLI69,0.047642200965948546,-0.10671708982358914,-0.11675975688381576,0.07887681589551586,-0.044441358273645495
l_CLI72,0.05961940700296242,-0.0482788649472382,0.045057251574764014,0.012393956385857888,-0.04809791235890589
l_CLI73,0.03815623836678503,-0.04032907056095599,-0.05138433754937419,0.14925603001788076,-0.05998123262112
l_CLI76,0.06059493558887693,-0.026446996394940765,0.06185087054922296,0.036962986860076645,-0.07766474860400194
l_TOP124,-0.014214139853389872,0.017044088448419602,-0.00888861821990048,-0.003103536395225622,-0.009367621022389083
l_TOP125,-0.005036121894473836,0.02458357319090821,0.019266363237075337,-0.006829393845742946,-0.03658610425967378
l_TOP126,-0.005576378443207032,0.030924950943531263,0.010144571578695999,-0.0015398942054886608,-0.031714915687167035
l_TOP127,5.9489421199178026e-05,0.021922957088607368,0.019300427382105405,-0.00439382226246304,-0.03286536363576174
l_TOP128,-0.01701461774233948,0.0260364451062237,-0.005023184801107649,0.0026086859493662253,-0.0052475978478382646
l_TOP129,-0.011799647718378442,0.032502479025623546,0.032231133679124085,-0.006620160180912788,-0.03967249211704504
l_TOP130,-0.011269789179399735,0.0438572509145823,0.01934338970979987,0.002818337607479377,-0.03160770249552143
l_TOP131,-0.006539455336712672,0.030103999521186618,0.03149812996639356,-0.004766733170652192,-0.03916618261675243
l_LAC1,-0.06666227923588725,0.029869236411200168,0.03855269623531821,-0.003722219320305145,-0.01217885890330502
l_LAC3,-0.04869647606613542,-0.013794622163576485,0.001856393118712554,0.023637445728422683,0.011489141561555569
l_LAC4,-0.002334341871668851,0.03293689902782255,0.020500050136272697,0.0005059585217020238,-0.016367941732587963
l_LAC6,0.04037704832801397,-0.03320129934086534,0.03575251805755473,0.022562567770724264,0.08937565580708062
l_LAC7,0.05175987617049286,0.034623631205675534,-0.06747201307315216,-0.07536562061440036,-0.03758169056840456
l_LAC9,0.029063102253393983,-0.020104247887264094,-0.03115759927196419,0.027790845870276144,-0.022695094967811205
l_LAC10,-0.0008107102590061883,0.011920714025676384,-0.011750768784760467,-0.002957959386718198,0.00816657468155512
l_LAC11,0.009077203714532077,-0.009695605731224624,0.003250649912663777,-0.00635290602250057,0.005375264642436678
l_LAC12,-0.0038369990510287977,0.00928130022056168,0.029538406662247912,-0.003951877976255913,-0.0136998530489498
l_LAC13,-0.009495186119674835,-0.023442591853010578,-0.04777754317925597,0.0041210298857151705,-0.03444334213066858
l_LAC19,-0.020115477541666236,0.010109945619443662,-0.002515336924081252,-0.01620975790224826,-0.0020850627290030597
l_LAC21,-0.02412498496171027,0.03257451499402648,0.03287438880420908,-0.019401652135806823,-0.14899755846726728
l_SOL1,0.04635637217275102,-0.014419801880980592,-0.021318500334030956,0.13132519866517212,-0.051938837612306846
l_SOL2,0.07575092844493188,-0.029370638909658388,-0.009040956768121035,0.11803506282062468,-0.09810153192767651
l_SOL3,0.06372111585468924,-0.020626528656924336,-0.019054268479823198,0.13035266389468994,-0.07934331650673934
l_SOL4,0.0629232648516659,-0.026680068803226858,0.007495217390065669,0.011845425014418685,-0.08750292226536742
l_SOL9,-0.06807431932873315,-0.055381285738716264,0.08901292082554972,0.14851878499000712,0.039381676566323874
l_SOL10,-0.056701856912229565,-0.06937872313969876,0.10507493409786113,0.148440011446346,0.016932988148150134
